priority	station	route_id	route_name	coverage_level	coverage_description	source_url	route_connections_in_app	lat	lon	v13_in_app_mode	v13_dynamic_source
P0	横浜	toyoko	東急東横線・みなとみらい線｜渋谷〜元町・中華街	C	アプリ内蔵（簡易号車）	https://wadattsu261.com/content/yokohama-tokyutoyoko-minatomiraihome-info/	15	35.466	139.622	static_car	
P0	横浜	blue	横浜市営 ブルーライン｜あざみ野〜湘南台	D	アプリ内蔵（号車＋ドア）	https://wadattsu261.com/content/yokohama-yokohamablueline-info/	15	35.466	139.622	static_detail	
P0	横浜	izumino	相鉄 いずみ野線直通｜横浜〜湘南台	C	アプリ内蔵（簡易号車）	https://wadattsu261.com/content/yokohama-sotetsuhome-info/	15	35.466	139.622	static_car	
P0	横浜	sotetsu	相鉄 本線｜横浜〜海老名	C	アプリ内蔵（簡易号車）	https://wadattsu261.com/content/yokohama-sotetsuhome-info/	15	35.466	139.622	static_car	
P0	東京	chuo	JR 中央線快速｜東京〜高尾	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/jc-chuorapidhome-all-info/#:~:text=%E6%9D%B1%E4%BA%AC	11	35.6812	139.7671	online_car	https://wadattsu261.com/content/jc-chuorapidhome-all-info/
P0	東京	keihin	JR 京浜東北・根岸線｜大宮〜大船	V1	駅別詳細ページ確認済み	https://wadattsu261.com/content/tokyo-yamanote-keihinhome-info/	11	35.6812	139.7671	online_car	https://wadattsu261.com/content/jk-keihin-negishiall-info/
P0	東京	keiyo	JR 京葉線｜東京〜蘇我	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/je-keiyohome-all-info/#:~:text=%E6%9D%B1%E4%BA%AC	11	35.6812	139.7671	online_car	https://wadattsu261.com/content/je-keiyohome-all-info/
P0	東京	utsunomiya	JR 宇都宮線｜東京〜宇都宮	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/ju-utsunomiyahome-all-info/#:~:text=%E6%9D%B1%E4%BA%AC	11	35.6812	139.7671	online_car	https://wadattsu261.com/content/ju-utsunomiyahome-all-info/
P0	東京	yamanote	JR 山手線｜環状運転	D	アプリ内蔵（号車＋ドア）	https://wadattsu261.com/content/tokyo-yamanote-keihinhome-info/	11	35.6812	139.7671	static_detail	
P0	東京	joban	JR 常磐線快速｜品川〜取手	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/jj-jobanrapidhome-all-info/#:~:text=%E6%9D%B1%E4%BA%AC	11	35.6812	139.7671	online_car	https://wadattsu261.com/content/jj-jobanrapidhome-all-info/
P0	東京	tokaido	JR 東海道線｜東京〜熱海	V1	駅別詳細ページ確認済み	https://wadattsu261.com/content/tokyo-tokaido-uenotokyoline-info/	11	35.6812	139.7671	online_car	https://wadattsu261.com/content/jt-tokaidohome-all-info/
P0	東京	yokosuka	JR 横須賀線｜東京〜久里浜	V1	駅別詳細ページ確認済み	https://wadattsu261.com/content/tokyo-yokosuka-soburapidhome-info/	11	35.6812	139.7671	online_car	https://wadattsu261.com/content/jo-yokosuka-soburapidhome-all-info/
P0	東京	sobu	JR 総武線快速｜東京〜千葉	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/jo-yokosuka-soburapidhome-all-info/#:~:text=%E6%9D%B1%E4%BA%AC	11	35.6812	139.7671	online_car	https://wadattsu261.com/content/jo-yokosuka-soburapidhome-all-info/
P0	東京	takasaki	JR 高崎線｜東京〜高崎	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/ju-takasakihome-all-info/#:~:text=%E6%9D%B1%E4%BA%AC	11	35.6812	139.7671	online_car	https://wadattsu261.com/content/ju-takasakihome-all-info/
P0	東京	metro_m	東京メトロ 丸ノ内線｜池袋〜荻窪	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/m-metromarunouchihome-all-info/#:~:text=%E6%9D%B1%E4%BA%AC	11	35.6812	139.7671	online_car	https://wadattsu261.com/content/m-metromarunouchihome-all-info/
P0	新宿	chuo_sobu	JR 中央・総武線各停｜三鷹〜千葉	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/jb-chuo-sobuslowhome-all-info/#:~:text=%E6%96%B0%E5%AE%BF	10	35.6896	139.7006	online_car	https://wadattsu261.com/content/jb-chuo-sobuslowhome-all-info/
P0	新宿	chuo	JR 中央線快速｜東京〜高尾	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/jc-chuorapidhome-all-info/#:~:text=%E6%96%B0%E5%AE%BF	10	35.6896	139.7006	online_car	https://wadattsu261.com/content/jc-chuorapidhome-all-info/
P0	新宿	saikyo	JR 埼京・川越線｜大崎〜川越	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/ja-saikyo-kawagoehome-all-info/#:~:text=%E6%96%B0%E5%AE%BF	10	35.6896	139.7006	online_car	https://wadattsu261.com/content/ja-saikyo-kawagoehome-all-info/
P0	新宿	yamanote	JR 山手線｜環状運転	D	アプリ内蔵（号車＋ドア）	https://wadattsu261.com/content/shinjuku-yamanote-chuoslowhome-info/	10	35.6896	139.7006	static_detail	
P0	新宿	shonan_u	JR 湘南新宿ライン｜宇都宮〜逗子	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/js-shonanshinjukuline-all-info/#:~:text=%E6%96%B0%E5%AE%BF	10	35.6896	139.7006	online_car	https://wadattsu261.com/content/js-shonanshinjukuline-all-info/
P0	新宿	shonan_t	JR 湘南新宿ライン｜高崎〜小田原	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/js-shonanshinjukuline-all-info/#:~:text=%E6%96%B0%E5%AE%BF	10	35.6896	139.7006	online_car	https://wadattsu261.com/content/js-shonanshinjukuline-all-info/
P0	新宿	keio_new	京王新線｜新宿〜笹塚	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/ko-keiohome-all-info/#:~:text=%E6%96%B0%E5%AE%BF	10	35.6896	139.7006	online_car	https://wadattsu261.com/content/ko-keiohome-all-info/
P0	新宿	keio	京王線｜新宿〜京王八王子	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/ko-keiohome-all-info/#:~:text=%E6%96%B0%E5%AE%BF	10	35.6896	139.7006	online_car	https://wadattsu261.com/content/ko-keiohome-all-info/
P0	新宿	odakyu	小田急 小田原線｜新宿〜小田原	R	路線一覧/汎用案内のみ	https://wadattsu261.com/stationhome-info/	10	35.6896	139.7006	external_link	
P0	新宿	metro_m	東京メトロ 丸ノ内線｜池袋〜荻窪	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/m-metromarunouchihome-all-info/#:~:text=%E6%96%B0%E5%AE%BF	10	35.6896	139.7006	online_car	https://wadattsu261.com/content/m-metromarunouchihome-all-info/
P0	池袋	saikyo	JR 埼京・川越線｜大崎〜川越	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/ja-saikyo-kawagoehome-all-info/#:~:text=%E6%B1%A0%E8%A2%8B	9	35.7303	139.71	online_car	https://wadattsu261.com/content/ja-saikyo-kawagoehome-all-info/
P0	池袋	yamanote	JR 山手線｜環状運転	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/jy-yamanotehome-soto-uchimawari-info/#:~:text=%E6%B1%A0%E8%A2%8B	9	35.7303	139.71	online_car	https://wadattsu261.com/content/jy-yamanotehome-soto-uchimawari-info/
P0	池袋	shonan_u	JR 湘南新宿ライン｜宇都宮〜逗子	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/js-shonanshinjukuline-all-info/#:~:text=%E6%B1%A0%E8%A2%8B	9	35.7303	139.71	online_car	https://wadattsu261.com/content/js-shonanshinjukuline-all-info/
P0	池袋	shonan_t	JR 湘南新宿ライン｜高崎〜小田原	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/js-shonanshinjukuline-all-info/#:~:text=%E6%B1%A0%E8%A2%8B	9	35.7303	139.71	online_car	https://wadattsu261.com/content/js-shonanshinjukuline-all-info/
P0	池袋	metro_m	東京メトロ 丸ノ内線｜池袋〜荻窪	C	アプリ内蔵（簡易号車）	https://wadattsu261.com/content/m-metromarunouchihome-all-info/	9	35.7303	139.71	static_car	
P0	池袋	metro_f	東京メトロ 副都心線｜和光市〜渋谷	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/f-metrofukutoshinhome-info/#:~:text=%E6%B1%A0%E8%A2%8B	9	35.7303	139.71	external_link	
P0	池袋	metro_y	東京メトロ 有楽町線｜和光市〜新木場	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/y-metroyurakuchohome-all-info/#:~:text=%E6%B1%A0%E8%A2%8B	9	35.7303	139.71	online_car	https://wadattsu261.com/content/y-metroyurakuchohome-all-info/
P0	池袋	tobu_tojo	東武 東上線｜池袋〜小川町	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/tj-tobutojohome-all-info/#:~:text=%E6%B1%A0%E8%A2%8B	9	35.7303	139.71	online_car	https://wadattsu261.com/content/tj-tobutojohome-all-info/
P0	池袋	seibu_ike	西武 池袋線｜池袋〜飯能	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/si-seibuikebukurohome-all-info/#:~:text=%E6%B1%A0%E8%A2%8B	9	35.7303	139.71	online_car	https://wadattsu261.com/content/si-seibuikebukurohome-all-info/
P0	渋谷	saikyo	JR 埼京・川越線｜大崎〜川越	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/ja-saikyo-kawagoehome-all-info/#:~:text=%E6%B8%8B%E8%B0%B7	9	35.658	139.7016	online_car	https://wadattsu261.com/content/ja-saikyo-kawagoehome-all-info/
P0	渋谷	yamanote	JR 山手線｜環状運転	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/jy-yamanotehome-soto-uchimawari-info/#:~:text=%E6%B8%8B%E8%B0%B7	9	35.658	139.7016	online_car	https://wadattsu261.com/content/jy-yamanotehome-soto-uchimawari-info/
P0	渋谷	shonan_u	JR 湘南新宿ライン｜宇都宮〜逗子	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/js-shonanshinjukuline-all-info/#:~:text=%E6%B8%8B%E8%B0%B7	9	35.658	139.7016	online_car	https://wadattsu261.com/content/js-shonanshinjukuline-all-info/
P0	渋谷	shonan_t	JR 湘南新宿ライン｜高崎〜小田原	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/js-shonanshinjukuline-all-info/#:~:text=%E6%B8%8B%E8%B0%B7	9	35.658	139.7016	online_car	https://wadattsu261.com/content/js-shonanshinjukuline-all-info/
P0	渋谷	metro_f	東京メトロ 副都心線｜和光市〜渋谷	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/f-metrofukutoshinhome-info/#:~:text=%E6%B8%8B%E8%B0%B7	9	35.658	139.7016	external_link	
P0	渋谷	metro_z	東京メトロ 半蔵門線｜渋谷〜押上	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/z-metrohanzomonhome-all-info/#:~:text=%E6%B8%8B%E8%B0%B7	9	35.658	139.7016	online_car	https://wadattsu261.com/content/z-metrohanzomonhome-all-info/
P0	渋谷	metro_g	東京メトロ 銀座線｜浅草〜渋谷	C	アプリ内蔵（簡易号車）	https://wadattsu261.com/content/g-metroginzahome-all-info/	9	35.658	139.7016	static_car	
P0	渋谷	denentoshi	東急 田園都市線｜渋谷〜中央林間	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/dt-tokyudenentoshihome-all-info/#:~:text=%E6%B8%8B%E8%B0%B7	9	35.658	139.7016	online_car	https://wadattsu261.com/content/dt-tokyudenentoshihome-all-info/
P0	渋谷	toyoko	東急東横線・みなとみらい線｜渋谷〜元町・中華街	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/ty-tokyutoyokohome-info/#:~:text=%E6%B8%8B%E8%B0%B7	9	35.658	139.7016	external_link	
P0	上野	keihin	JR 京浜東北・根岸線｜大宮〜大船	V1	駅別詳細ページ確認済み	https://wadattsu261.com/content/ueno-yamanote-keihinhome-info/	7	35.7142	139.7774	online_car	https://wadattsu261.com/content/jk-keihin-negishiall-info/
P0	上野	utsunomiya	JR 宇都宮線｜東京〜宇都宮	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/ju-utsunomiyahome-all-info/#:~:text=%E4%B8%8A%E9%87%8E	7	35.7142	139.7774	online_car	https://wadattsu261.com/content/ju-utsunomiyahome-all-info/
P0	上野	yamanote	JR 山手線｜環状運転	D	アプリ内蔵（号車＋ドア）	https://wadattsu261.com/content/ueno-yamanote-keihinhome-info/	7	35.7142	139.7774	static_detail	
P0	上野	joban	JR 常磐線快速｜品川〜取手	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/jj-jobanrapidhome-all-info/#:~:text=%E4%B8%8A%E9%87%8E	7	35.7142	139.7774	online_car	https://wadattsu261.com/content/jj-jobanrapidhome-all-info/
P0	上野	takasaki	JR 高崎線｜東京〜高崎	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/ju-takasakihome-all-info/#:~:text=%E4%B8%8A%E9%87%8E	7	35.7142	139.7774	online_car	https://wadattsu261.com/content/ju-takasakihome-all-info/
P0	上野	metro_h	東京メトロ 日比谷線｜北千住〜中目黒	C	アプリ内蔵（簡易号車）	https://wadattsu261.com/content/h-metrohibiyahome-all-info/	7	35.7142	139.7774	static_car	
P0	上野	metro_g	東京メトロ 銀座線｜浅草〜渋谷	C	アプリ内蔵（簡易号車）	https://wadattsu261.com/content/g-metroginzahome-all-info/	7	35.7142	139.7774	static_car	
P0	品川	keihin	JR 京浜東北・根岸線｜大宮〜大船	V1	駅別詳細ページ確認済み	https://wadattsu261.com/content/shinagawa-keihinhome-info/	7	35.6285	139.7388	online_car	https://wadattsu261.com/content/jk-keihin-negishiall-info/
P0	品川	yamanote	JR 山手線｜環状運転	C	アプリ内蔵（号車）	https://wadattsu261.com/content/shinagawa-yamanotehome-info/	7	35.6285	139.7388	static_car	
P0	品川	joban	JR 常磐線快速｜品川〜取手	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/jj-jobanrapidhome-all-info/#:~:text=%E5%93%81%E5%B7%9D	7	35.6285	139.7388	online_car	https://wadattsu261.com/content/jj-jobanrapidhome-all-info/
P0	品川	tokaido	JR 東海道線｜東京〜熱海	D	アプリ内蔵（号車＋ドア）	https://wadattsu261.com/content/shinagawa-tokaido-joban-uenotokyoline-info/	7	35.6285	139.7388	static_detail	
P0	品川	yokosuka	JR 横須賀線｜東京〜久里浜	D	アプリ内蔵（号車＋ドア）	https://wadattsu261.com/content/shinagawa-yokosukahome-info/	7	35.6285	139.7388	static_detail	
P0	品川	keikyu_k	京急 久里浜線直通｜泉岳寺〜三崎口	R	路線一覧/汎用案内のみ	https://wadattsu261.com/stationhome-info/	7	35.6285	139.7388	external_link	
P0	品川	keikyu	京急 本線｜泉岳寺〜浦賀	R	路線一覧/汎用案内のみ	https://wadattsu261.com/stationhome-info/	7	35.6285	139.7388	external_link	
P0	大宮	keihin	JR 京浜東北・根岸線｜大宮〜大船	V1	駅別詳細ページ確認済み	https://wadattsu261.com/content/omiya-keihinhome-no1-2-info/	6	35.9064	139.6239	online_car	https://wadattsu261.com/content/jk-keihin-negishiall-info/
P0	大宮	saikyo	JR 埼京・川越線｜大崎〜川越	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/ja-saikyo-kawagoehome-all-info/#:~:text=%E5%A4%A7%E5%AE%AE	6	35.9064	139.6239	online_car	https://wadattsu261.com/content/ja-saikyo-kawagoehome-all-info/
P0	大宮	utsunomiya	JR 宇都宮線｜東京〜宇都宮	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/ju-utsunomiyahome-all-info/#:~:text=%E5%A4%A7%E5%AE%AE	6	35.9064	139.6239	online_car	https://wadattsu261.com/content/ju-utsunomiyahome-all-info/
P0	大宮	shonan_u	JR 湘南新宿ライン｜宇都宮〜逗子	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/js-shonanshinjukuline-all-info/#:~:text=%E5%A4%A7%E5%AE%AE	6	35.9064	139.6239	online_car	https://wadattsu261.com/content/js-shonanshinjukuline-all-info/
P0	大宮	shonan_t	JR 湘南新宿ライン｜高崎〜小田原	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/js-shonanshinjukuline-all-info/#:~:text=%E5%A4%A7%E5%AE%AE	6	35.9064	139.6239	online_car	https://wadattsu261.com/content/js-shonanshinjukuline-all-info/
P0	大宮	takasaki	JR 高崎線｜東京〜高崎	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/ju-takasakihome-all-info/#:~:text=%E5%A4%A7%E5%AE%AE	6	35.9064	139.6239	online_car	https://wadattsu261.com/content/ju-takasakihome-all-info/
P0	新橋	keihin	JR 京浜東北・根岸線｜大宮〜大船	V1	駅別詳細ページ確認済み	https://wadattsu261.com/content/shinbashi-yamanote-keihinhome-info/	6	35.6662	139.7586	online_car	https://wadattsu261.com/content/jk-keihin-negishiall-info/
P0	新橋	yamanote	JR 山手線｜環状運転	C	アプリ内蔵（簡易号車）	https://wadattsu261.com/content/jy-yamanotehome-soto-uchimawari-info/	6	35.6662	139.7586	static_car	
P0	新橋	joban	JR 常磐線快速｜品川〜取手	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/jj-jobanrapidhome-all-info/#:~:text=%E6%96%B0%E6%A9%8B	6	35.6662	139.7586	online_car	https://wadattsu261.com/content/jj-jobanrapidhome-all-info/
P0	新橋	tokaido	JR 東海道線｜東京〜熱海	D	アプリ内蔵（号車＋ドア）	https://wadattsu261.com/content/shinbashi-tokaidohome-info/	6	35.6662	139.7586	static_detail	
P0	新橋	yokosuka	JR 横須賀線｜東京〜久里浜	D	アプリ内蔵（号車＋ドア）	https://wadattsu261.com/content/shinbashi-yokosukahome-info/	6	35.6662	139.7586	static_detail	
P0	新橋	metro_g	東京メトロ 銀座線｜浅草〜渋谷	D	アプリ内蔵（号車＋ドア）	https://www.tokyometro.jp/station/line_images/figure_platform_g08_a.png | https://www.tokyometro.jp/station/line_images/figure_platform_g08_b.png	6	35.6662	139.7586	static_detail	
P0	武蔵小杉	nambu	JR 南武線｜川崎〜立川	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/jn-nambuhome-all-info/#:~:text=%E6%AD%A6%E8%94%B5%E5%B0%8F%E6%9D%89	6	35.575	139.663	online_car	https://wadattsu261.com/content/jn-nambuhome-all-info/
P0	武蔵小杉	yokosuka	JR 横須賀線｜東京〜久里浜	V1	駅別詳細ページ確認済み	https://wadattsu261.com/content/musashikosugi-yokosuka-shonanshinjukuline-sotetsudirecthome-info/	6	35.575	139.663	online_car	https://wadattsu261.com/content/jo-yokosuka-soburapidhome-all-info/
P0	武蔵小杉	shonan_u	JR 湘南新宿ライン｜宇都宮〜逗子	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/js-shonanshinjukuline-all-info/#:~:text=%E6%AD%A6%E8%94%B5%E5%B0%8F%E6%9D%89	6	35.575	139.663	online_car	https://wadattsu261.com/content/js-shonanshinjukuline-all-info/
P0	武蔵小杉	shonan_t	JR 湘南新宿ライン｜高崎〜小田原	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/js-shonanshinjukuline-all-info/#:~:text=%E6%AD%A6%E8%94%B5%E5%B0%8F%E6%9D%89	6	35.575	139.663	online_car	https://wadattsu261.com/content/js-shonanshinjukuline-all-info/
P0	武蔵小杉	meguro	東急 目黒線｜目黒〜日吉	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/mg-tokyumegurohome-info/#:~:text=%E6%AD%A6%E8%94%B5%E5%B0%8F%E6%9D%89	6	35.575	139.663	external_link	
P0	武蔵小杉	toyoko	東急東横線・みなとみらい線｜渋谷〜元町・中華街	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/ty-tokyutoyokohome-info/#:~:text=%E6%AD%A6%E8%94%B5%E5%B0%8F%E6%9D%89	6	35.575	139.663	external_link	
P0	赤羽	keihin	JR 京浜東北・根岸線｜大宮〜大船	V1	駅別詳細ページ確認済み	https://wadattsu261.com/content/akabane-keihinhome-info/	6	35.778	139.7209	online_car	https://wadattsu261.com/content/jk-keihin-negishiall-info/
P0	赤羽	saikyo	JR 埼京・川越線｜大崎〜川越	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/ja-saikyo-kawagoehome-all-info/#:~:text=%E8%B5%A4%E7%BE%BD	6	35.778	139.7209	online_car	https://wadattsu261.com/content/ja-saikyo-kawagoehome-all-info/
P0	赤羽	utsunomiya	JR 宇都宮線｜東京〜宇都宮	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/ju-utsunomiyahome-all-info/#:~:text=%E8%B5%A4%E7%BE%BD	6	35.778	139.7209	online_car	https://wadattsu261.com/content/ju-utsunomiyahome-all-info/
P0	赤羽	shonan_u	JR 湘南新宿ライン｜宇都宮〜逗子	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/js-shonanshinjukuline-all-info/#:~:text=%E8%B5%A4%E7%BE%BD	6	35.778	139.7209	online_car	https://wadattsu261.com/content/js-shonanshinjukuline-all-info/
P0	赤羽	shonan_t	JR 湘南新宿ライン｜高崎〜小田原	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/js-shonanshinjukuline-all-info/#:~:text=%E8%B5%A4%E7%BE%BD	6	35.778	139.7209	online_car	https://wadattsu261.com/content/js-shonanshinjukuline-all-info/
P0	赤羽	takasaki	JR 高崎線｜東京〜高崎	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/ju-takasakihome-all-info/#:~:text=%E8%B5%A4%E7%BE%BD	6	35.778	139.7209	online_car	https://wadattsu261.com/content/ju-takasakihome-all-info/
P0	恵比寿	saikyo	JR 埼京・川越線｜大崎〜川越	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/ja-saikyo-kawagoehome-all-info/#:~:text=%E6%81%B5%E6%AF%94%E5%AF%BF	5	35.6467	139.7101	online_car	https://wadattsu261.com/content/ja-saikyo-kawagoehome-all-info/
P0	恵比寿	yamanote	JR 山手線｜環状運転	D	アプリ内蔵（号車＋ドア）	https://wadattsu261.com/content/ebisu-yamanotehome-info/	5	35.6467	139.7101	static_detail	
P0	恵比寿	shonan_u	JR 湘南新宿ライン｜宇都宮〜逗子	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/js-shonanshinjukuline-all-info/#:~:text=%E6%81%B5%E6%AF%94%E5%AF%BF	5	35.6467	139.7101	online_car	https://wadattsu261.com/content/js-shonanshinjukuline-all-info/
P0	恵比寿	shonan_t	JR 湘南新宿ライン｜高崎〜小田原	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/js-shonanshinjukuline-all-info/#:~:text=%E6%81%B5%E6%AF%94%E5%AF%BF	5	35.6467	139.7101	online_car	https://wadattsu261.com/content/js-shonanshinjukuline-all-info/
P0	恵比寿	metro_h	東京メトロ 日比谷線｜北千住〜中目黒	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/h-metrohibiyahome-all-info/#:~:text=%E6%81%B5%E6%AF%94%E5%AF%BF	5	35.6467	139.7101	online_car	https://wadattsu261.com/content/h-metrohibiyahome-all-info/
P0	浦和	keihin	JR 京浜東北・根岸線｜大宮〜大船	V1	駅別詳細ページ確認済み	https://wadattsu261.com/content/urawa-keihinhome-info/	5	35.8585	139.6571	online_car	https://wadattsu261.com/content/jk-keihin-negishiall-info/
P0	浦和	utsunomiya	JR 宇都宮線｜東京〜宇都宮	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/ju-utsunomiyahome-all-info/#:~:text=%E6%B5%A6%E5%92%8C	5	35.8585	139.6571	online_car	https://wadattsu261.com/content/ju-utsunomiyahome-all-info/
P0	浦和	shonan_u	JR 湘南新宿ライン｜宇都宮〜逗子	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/js-shonanshinjukuline-all-info/#:~:text=%E6%B5%A6%E5%92%8C	5	35.8585	139.6571	online_car	https://wadattsu261.com/content/js-shonanshinjukuline-all-info/
P0	浦和	shonan_t	JR 湘南新宿ライン｜高崎〜小田原	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/js-shonanshinjukuline-all-info/#:~:text=%E6%B5%A6%E5%92%8C	5	35.8585	139.6571	online_car	https://wadattsu261.com/content/js-shonanshinjukuline-all-info/
P0	浦和	takasaki	JR 高崎線｜東京〜高崎	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/ju-takasakihome-all-info/#:~:text=%E6%B5%A6%E5%92%8C	5	35.8585	139.6571	online_car	https://wadattsu261.com/content/ju-takasakihome-all-info/
P0	四ツ谷	chuo_sobu	JR 中央・総武線各停｜三鷹〜千葉	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/jb-chuo-sobuslowhome-all-info/#:~:text=%E5%9B%9B%E3%83%84%E8%B0%B7	4	35.686	139.7306	online_car	https://wadattsu261.com/content/jb-chuo-sobuslowhome-all-info/
P0	四ツ谷	chuo	JR 中央線快速｜東京〜高尾	V2	路線全駅/駅別一覧確認済み	https://wadattsu261.com/content/jc-chuorapidhome-all-info/#:~:text=%E5%9B%9B%E3%83%84%E8%B0%B7	4	35.686	139.7306	online_car	https://wadattsu261.com/content/jc-chuorapidhome-all-info/
